TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;TimeStamp_Tool1;Valid_Tool1;X_Tool1;Y_Tool1;Z_Tool1;QX_Tool1;QY_Tool1;QZ_Tool1;QR_Tool1;
1934;1;0;0;0;0;0;-1;0;1934;1;10;0;0;0;0;-1;0.6145308375474207;
2025;1;0;0;0;0;0;-1;0;2025;1;10;0;0;0;0;-1;0.7669326447638615;
2114;1;0;0;0;0;0;-1;0;2114;1;10;0;0;0;0;-1;0.42989678579770474;
2235;1;0;0;0;0;0;-1;0;2235;1;10;0;0;0;0;-1;0.680315495078016;
2317;1;0;0;0;0;0;-1;0;2317;1;10;0;0;0;0;-1;0.30329422097071246;
2446;1;0;0;0;0;0;-1;0;2446;1;10;0;0;0;0;-1;0.8783187782215216;
2534;1;0;0;0;0;0;-1;0;2534;1;10;0;0;0;0;-1;0.9049267521448396;
2620;1;0;0;0;0;0;-1;0;2620;1;10;0;0;0;0;-1;0.45028068115599273;
2721;1;0;0;0;0;0;-1;0;2721;1;10;0;0;0;0;-1;0.5389582482144923;
2813;1;0;0;0;0;0;-1;0;2813;1;10;0;0;0;0;-1;0.2492472188459951;
2926;1;0;0;0;0;0;-1;0;2926;1;10;0;0;0;0;-1;0.016787285206913194;
3041;1;0;0;0;0;0;-1;0;3041;1;10;0;0;0;0;-1;0.9838950113423811;
3130;1;0;0;0;0;0;-1;0;3130;1;10;0;0;0;0;-1;0.047708597146745135;
3241;1;0;0;0;0;0;-1;0;3241;1;10;0;0;0;0;-1;0.7016514304280956;
3330;1;0;0;0;0;0;-1;0;3330;1;10;0;0;0;0;-1;0.025336120406602936;
3448;1;0;0;0;0;0;-1;0;3448;1;10;0;0;0;0;-1;0.616199666935624;
3525;1;0;0;0;0;0;-1;0;3525;1;10;0;0;0;0;-1;0.7605184845639656;
3648;1;0;0;0;0;0;-1;0;3648;1;10;0;0;0;0;-1;0.6266736274169942;
3719;1;0;0;0;0;0;-1;0;3719;1;10;0;0;0;0;-1;0.28457853274587896;
3820;1;0;0;0;0;0;-1;0;3820;1;10;0;0;0;0;-1;0.5852940602649092;
3941;1;0;0;0;0;0;-1;0;3941;1;10;0;0;0;0;-1;0.06988790818360713;
4011;1;0;0;0;0;0;-1;0;4011;1;10;0;0;0;0;-1;0.6406076113960465;
4124;1;0;0;0;0;0;-1;0;4124;1;10;0;0;0;0;-1;0.9607927107547682;
4223;1;0;0;0;0;0;-1;0;4223;1;10;0;0;0;0;-1;0.545810876437036;
4310;1;0;0;0;0;0;-1;0;4310;1;10;0;0;0;0;-1;0.9153615485500897;
4410;1;0;0;0;0;0;-1;0;4410;1;10;0;0;0;0;-1;0.633331825094299;
4541;1;0;0;0;0;0;-1;0;4541;1;10;0;0;0;0;-1;0.8938493542049143;
4629;1;0;0;0;0;0;-1;0;4629;1;10;0;0;0;0;-1;0.15727063448941803;
4715;1;0;0;0;0;0;-1;0;4715;1;10;0;0;0;0;-1;0.9062274737333998;
4836;1;0;0;0;0;0;-1;0;4836;1;10;0;0;0;0;-1;0.580189795937922;
4935;1;0;0;0;0;0;-1;0;4935;1;10;0;0;0;0;-1;0.794147705895332;
5020;1;0;0;0;0;0;-1;0;5020;1;10;0;0;0;0;-1;0.8342255797186912;
5148;1;0;0;0;0;0;-1;0;5148;1;10;0;0;0;0;-1;0.6463440232598199;
5210;1;0;0;0;0;0;-1;0;5210;1;10;0;0;0;0;-1;0.8098021668354971;
5319;1;0;0;0;0;0;-1;0;5319;1;10;0;0;0;0;-1;0.877822340122056;
5446;1;0;0;0;0;0;-1;0;5446;1;10;0;0;0;0;-1;0.8402310904600566;
5540;1;0;0;0;0;0;-1;0;5540;1;10;0;0;0;0;-1;0.8933199736322214;
5614;1;0;0;0;0;0;-1;0;5614;1;10;0;0;0;0;-1;0.30029971427833246;
5740;1;0;0;0;0;0;-1;0;5740;1;10;0;0;0;0;-1;0.2161803653825196;
5823;1;0;0;0;0;0;-1;0;5823;1;10;0;0;0;0;-1;0.3706525379242044;
5942;1;0;0;0;0;0;-1;0;5942;1;10;0;0;0;0;-1;0.08265398385266742;
6027;1;0;0;0;0;0;-1;0;6027;1;10;0;0;0;0;-1;0.3740011075911499;
6114;1;0;0;0;0;0;-1;0;6114;1;10;0;0;0;0;-1;0.5552917003772084;
6236;1;0;0;0;0;0;-1;0;6236;1;10;0;0;0;0;-1;0.39018927333915143;
6345;1;0;0;0;0;0;-1;0;6345;1;10;0;0;0;0;-1;0.6360846759375929;
6416;1;0;0;0;0;0;-1;0;6416;1;10;0;0;0;0;-1;0.43568189263748414;
6534;1;0;0;0;0;0;-1;0;6534;1;10;0;0;0;0;-1;0.75965056848349;
6645;1;0;0;0;0;0;-1;0;6645;1;10;0;0;0;0;-1;0.3998410429876461;
6725;1;0;0;0;0;0;-1;0;6725;1;10;0;0;0;0;-1;0.9463557638015115;
6825;1;0;0;0;0;0;-1;0;6825;1;10;0;0;0;0;-1;0.6067816027502602;
6944;1;0;0;0;0;0;-1;0;6944;1;10;0;0;0;0;-1;0.14980453732905485;
7028;1;0;0;0;0;0;-1;0;7028;1;10;0;0;0;0;-1;0.5969825109818575;
7135;1;0;0;0;0;0;-1;0;7135;1;10;0;0;0;0;-1;0.3504139259550353;
7247;1;0;0;0;0;0;-1;0;7247;1;10;0;0;0;0;-1;0.6684418594708994;
7339;1;0;0;0;0;0;-1;0;7339;1;10;0;0;0;0;-1;0.8317609572229597;
7442;1;0;0;0;0;0;-1;0;7442;1;10;0;0;0;0;-1;0.5750733104754967;
7512;1;0;0;0;0;0;-1;0;7512;1;10;0;0;0;0;-1;0.8737793201950692;
7635;1;0;0;0;0;0;-1;0;7635;1;10;0;0;0;0;-1;0.5824759799874348;
7716;1;0;0;0;0;0;-1;0;7716;1;10;0;0;0;0;-1;0.957188062089052;
7826;1;0;0;0;0;0;-1;0;7826;1;10;0;0;0;0;-1;0.3634576432595058;
7935;1;0;0;0;0;0;-1;0;7935;1;10;0;0;0;0;-1;0.405249095897135;
8050;1;0;0;0;0;0;-1;0;8050;1;10;0;0;0;0;-1;0.9247785338991976;
8149;1;0;0;0;0;0;-1;0;8149;1;10;0;0;0;0;-1;0.7192387571959076;
8237;1;0;0;0;0;0;-1;0;8237;1;10;0;0;0;0;-1;0.4332524592281005;
8341;1;0;0;0;0;0;-1;0;8341;1;10;0;0;0;0;-1;0.9418508252507097;
8427;1;0;0;0;0;0;-1;0;8427;1;10;0;0;0;0;-1;0.26983957940237824;
8526;1;0;0;0;0;0;-1;0;8526;1;10;0;0;0;0;-1;0.6734031885452787;
8639;1;0;0;0;0;0;-1;0;8639;1;10;0;0;0;0;-1;0.35076044257184624;
8728;1;0;0;0;0;0;-1;0;8728;1;10;0;0;0;0;-1;0.6362431375370531;
8850;1;0;0;0;0;0;-1;0;8850;1;10;0;0;0;0;-1;0.7259606213341611;
8948;1;0;0;0;0;0;-1;0;8948;1;10;0;0;0;0;-1;0.920032044789477;
9041;1;0;0;0;0;0;-1;0;9041;1;10;0;0;0;0;-1;0.5374374613549235;
9150;1;0;0;0;0;0;-1;0;9150;1;10;0;0;0;0;-1;0.1551894670647186;
9232;1;0;0;0;0;0;-1;0;9232;1;10;0;0;0;0;-1;0.4025386914497888;
9343;1;0;0;0;0;0;-1;0;9343;1;10;0;0;0;0;-1;0.6768264968838296;
9412;1;0;0;0;0;0;-1;0;9412;1;10;0;0;0;0;-1;0.9873844256601646;
9536;1;0;0;0;0;0;-1;0;9536;1;10;0;0;0;0;-1;0.8224885608696426;
9630;1;0;0;0;0;0;-1;0;9630;1;10;0;0;0;0;-1;0.1084047017416544;
9724;1;0;0;0;0;0;-1;0;9724;1;10;0;0;0;0;-1;0.38703549986131447;
9825;1;0;0;0;0;0;-1;0;9825;1;10;0;0;0;0;-1;0.49341437295839463;
9914;1;0;0;0;0;0;-1;0;9914;1;10;0;0;0;0;-1;0.4235855328897503;
